source,target,reason
113701711776850637,113302576248911632,same_domain
113302576248911632,113612106840946806,same_domain
113612106840946806,113580466842122008,same_domain
113580466842122008,113485005846936679,same_domain
113485005846936679,113350078674311227,same_domain
113350078674311227,111866393669096381,same_domain
111866393669096381,113233052447315116,same_domain
113233052447315116,107057825694335801,same_domain
107057825694335801,110652193121739862,same_domain
110652193121739862,111266912401312685,same_domain
111266912401312685,112910721039832763,same_domain
112910721039832763,112843801096621182,same_domain
112843801096621182,559173,same_domain
559173,112634612724956519,same_domain
112634612724956519,109374616082900927,same_domain
109374616082900927,39894,same_domain
39894,112466812316237320,same_domain
112466812316237320,108196551559051903,same_domain
108196551559051903,213939,same_domain
213939,109252341754783953,same_domain
109252341754783953,112339386306332928,same_domain
112339386306332928,111585904638150314,same_domain
111585904638150314,110441535131897219,same_domain
110441535131897219,112181615441689686,same_domain
112181615441689686,19616,same_domain
19616,109959927074264355,same_domain
109959927074264355,893373,same_domain
893373,111984585132440586,same_domain
111984585132440586,598061,same_domain
598061,111301195217680847,same_domain
111301195217680847,111295592917605395,same_domain
111295592917605395,109245063176478371,same_domain
109245063176478371,110159724652257619,same_domain
110159724652257619,110266162634306901,same_domain
110266162634306901,321779,same_domain
321779,226196,same_domain
226196,109251695345631642,same_domain
109251695345631642,109913066849585282,same_domain
109913066849585282,19522,same_domain
19522,109258222978707995,same_domain
109258222978707995,410616,same_domain
410616,26897,same_domain
26897,109257023563767118,same_domain
109257023563767118,38463,same_domain
38463,109897951549644550,same_domain
109897951549644550,109291693145480049,same_domain
109291693145480049,109316204406574421,same_domain
109316204406574421,34541,same_domain
34541,109248245724223725,same_domain
109248245724223725,109246207331065629,same_domain
109246207331065629,109246123088278861,same_domain
109246123088278861,2400,same_domain
2400,109257982635114466,same_domain
109257982635114466,109504525764273718,same_domain
109504525764273718,109373774912342849,same_domain
109373774912342849,1,same_domain
1,35703,same_domain
35703,111380493736694222,same_domain
109355700962815786,109320899984330026,same_domain
109284797299145160,109331373053799696,same_domain
109331373053799696,108199991648158833,same_domain
109313221379804811,109497527049648799,same_domain
69803,85812,same_domain
111380493736694222,109226011749982541,same_domain
109294418797354347,109260093830541357,same_domain
109497527049648799,109283657545647369,same_domain
109226011749982541,109258762093949752,same_domain
109484404763362246,109349864650760475,same_domain
109365658252980987,109394187836120803,same_domain
109394187836120803,109378871136888374,same_domain
109283657545647369,109283198109184387,same_domain
109349864650760475,109484172185286296,same_domain
109372878188920164,109288075101170190,same_domain
109258762093949752,109214702158432524,same_domain
109214702158432524,109352946332271974,same_domain
109352946332271974,109339913369371835,same_domain
109339913369371835,109508846858665050,same_domain
109508846858665050,109502260753916593,same_domain
109502260753916593,108228513830587471,same_domain
108228513830587471,109244667345297775,same_domain
109244667345297775,459969,same_domain
109286542736248422,1133610,same_domain
459969,463511,same_domain
463511,29256,same_domain
29256,108196926365234436,same_domain
108196926365234436,31767,same_domain
31767,29148,same_domain
29148,115200072495828908,same_domain
114466524928076084,113630357003877826,same_domain
113568469131190775,114764120811244221,same_domain
115200072495828908,114987405684810628,same_domain
113630357003877826,113826915124409908,same_domain
114987405684810628,115016318000309777,same_domain
115016318000309777,112602726812903759,same_domain
112602726812903759,42163,same_domain
42163,115000811491192529,same_domain
115000811491192529,113783497857295366,same_domain
113783497857295366,113341827297837859,same_domain
113341827297837859,114809402485315676,same_domain
